"transaction_id","transaction_date","amount","currency_code","currency_symbol","description","category_id","category_name","is_expense","is_cancelled","is_refund","original_transaction_id","signed_amount","created_at","updated_at"
"1","15/1/2024 12:30:00","1250.5","RUB","₽","Покупка продуктов в Пятерочке","1","Продукты питания","t","f","f",,"-1250.5","5/12/2025 17:01:47.448593","5/12/2025 17:01:47.448593"
"2","15/1/2024 19:45:00","450","RUB","₽","Поездка на такси с работы","4","Такси","t","f","f",,"-450","5/12/2025 17:01:47.448593","5/12/2025 17:01:47.448593"
"3","16/1/2024 10:00:00","2999.99","RUB","₽","Новая футболка в Zara","8","Одежда и обувь","t","f","f",,"-2999.99","5/12/2025 17:01:47.448593","5/12/2025 17:01:47.448593"
"4","16/1/2024 14:20:00","350","RUB","₽","Обед в столовой","2","Кафе и рестораны","t","f","f",,"-350","5/12/2025 17:01:47.448593","5/12/2025 17:01:47.448593"
"5","17/1/2024 09:15:00","89.9","RUB","₽","Проезд на метро","5","Общественный транспорт","t","f","f",,"-89.9","5/12/2025 17:01:47.448593","5/12/2025 17:01:47.448593"
"6","15/1/2024 08:00:00","75000","RUB","₽","Зарплата за январь","16","Зарплата","f","f","f",,"75000","5/12/2025 17:01:47.448593","5/12/2025 17:01:47.448593"
"7","16/1/2024 16:30:00","15000","RUB","₽","Оплата за фриланс-проект","17","Фриланс","f","f","f",,"15000","5/12/2025 17:01:47.448593","5/12/2025 17:01:47.448593"
"8","17/1/2024 11:00:00","1000","RUB","₽","Возврат куртки","19","Возвраты","f","f","f",,"1000","5/12/2025 17:01:47.448593","5/12/2025 17:01:47.448593"
"9","14/1/2024 15:00:00","5000","RUB","₽","Покупка куртки","8","Одежда и обувь","t","f","f",,"-5000","5/12/2025 17:01:47.450879","5/12/2025 17:01:47.450879"
"10","17/1/2024 11:00:00","5000","RUB","₽","Возврат куртки","19","Возвраты","f","f","t",,"-5000","5/12/2025 17:01:47.475776","5/12/2025 17:01:47.475776"
"11","17/1/2024 12:00:00","2000","RUB","₽","Отмененная покупка (ошибка кассира)","7","Покупки","t","t","f",,"0","5/12/2025 17:01:47.476128","5/12/2025 17:01:47.476128"
"12","19/6/2024 07:05:00","1493.86","RUB","₽","Приобретение Красота и здоровье Кафе улица #1","11","Красота и здоровье","t","f","f",,"-1493.86","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"13","4/1/2025 09:29:00","254.96","TJS","ЅМ","Расход Транспорт Приложение вокзал #2","3","Транспорт","t","f","f",,"-254.96","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"14","8/1/2024 16:38:00","53863.58","RUB","₽","Приобретение Фриланс Аптека возле дома #3","17","Фриланс","f","f","f",,"53863.58","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"15","16/9/2024 08:05:00","821863.75","TJS","ЅМ","Покупка Зарплата Офис улица #4","16","Зарплата","f","f","f",,"821863.75","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"16","9/9/2025 06:19:00","37102.32","RUB","₽","Приобретение Фриланс Супермаркет в центре #5","17","Фриланс","f","f","f",,"37102.32","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"17","25/10/2025 21:56:00","14157.62","TJS","ЅМ","Оплата Образование Аптека возле дома #6","14","Образование","t","f","f",,"-14157.62","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"18","21/9/2025 00:03:00","722.51","TJS","ЅМ","Оплата Кафе и рестораны Офис улица #7","2","Кафе и рестораны","t","f","f",,"-722.51","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"19","15/1/2025 06:51:00","1045","RUB","₽","Расход Развлечения Ресторан аэропорт #8","10","Развлечения","t","f","f",,"-1045","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"20","29/2/2024 01:25:00","149.69","RUB","₽","Расход Продукты питания Ресторан улица #9","1","Продукты питания","t","f","f",,"-149.69","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"21","19/2/2024 10:57:00","18181.79","TJS","ЅМ","Покупка Связь и интернет Филиал возле дома #10","13","Связь и интернет","t","f","f",,"-18181.79","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"22","29/7/2024 12:53:00","119652.34","RUB","₽","Оплата Зарплата Кафе онлайн #11","16","Зарплата","f","f","f",,"119652.34","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"23","16/5/2024 11:20:00","616.34","RUB","₽","Оплата заказа Развлечения Ресторан улица #12","10","Развлечения","t","f","f",,"-616.34","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"24","11/3/2025 12:08:00","1453.49","RUB","₽","Оплата заказа Аренда жилья Магазин возле дома #13","24","Аренда жилья","t","f","f",,"-1453.49","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"25","11/6/2025 13:00:00","70752.35","TJS","ЅМ","Заказ Путешествия Филиал в ТЦ #14","15","Путешествия","t","f","f",,"-70752.35","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
